node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
GO:0051121	GO:0001676	biological_function	biological_function	hepoxilin metabolic process	long-chain fatty acid metabolic process
GO:0051121	GO:0033559	biological_function	biological_function	hepoxilin metabolic process	unsaturated fatty acid metabolic process
GO:0051122	GO:0042759	biological_function	biological_function	hepoxilin biosynthetic process	long-chain fatty acid biosynthetic process
GO:0051122	GO:0006636	biological_function	biological_function	hepoxilin biosynthetic process	unsaturated fatty acid biosynthetic process
GO:0051122	GO:0051121	biological_function	biological_function	hepoxilin biosynthetic process	hepoxilin metabolic process
GO:0070897	GO:0006352	biological_function	biological_function	DNA-templated transcriptional preinitiation complex assembly	DNA-templated transcription, initiation
GO:0070897	GO:0065004	biological_function	biological_function	DNA-templated transcriptional preinitiation complex assembly	protein-DNA complex assembly
GO:0051126	GO:0045010	biological_function	biological_function	negative regulation of actin nucleation	actin nucleation
GO:0051126	GO:0051125	biological_function	biological_function	negative regulation of actin nucleation	regulation of actin nucleation
GO:0051126	GO:1902904	biological_function	biological_function	negative regulation of actin nucleation	negative regulation of supramolecular fiber organization
GO:0051126	GO:0051494	biological_function	biological_function	negative regulation of actin nucleation	negative regulation of cytoskeleton organization
GO:0051127	GO:0045010	biological_function	biological_function	positive regulation of actin nucleation	actin nucleation
GO:0051127	GO:0051125	biological_function	biological_function	positive regulation of actin nucleation	regulation of actin nucleation
GO:0051127	GO:0030838	biological_function	biological_function	positive regulation of actin nucleation	positive regulation of actin filament polymerization
GO:0051131	GO:0043623	biological_function	biological_function	chaperone-mediated protein complex assembly	cellular protein complex assembly
GO:0051133	GO:0046634	biological_function	biological_function	regulation of NK T cell activation	regulation of alpha-beta T cell activation
GO:0051135	GO:0051133	biological_function	biological_function	positive regulation of NK T cell activation	regulation of NK T cell activation
GO:0051135	GO:0046635	biological_function	biological_function	positive regulation of NK T cell activation	positive regulation of alpha-beta T cell activation
GO:0051140	GO:0051133	biological_function	biological_function	regulation of NK T cell proliferation	regulation of NK T cell activation
GO:0051140	GO:0046640	biological_function	biological_function	regulation of NK T cell proliferation	regulation of alpha-beta T cell proliferation
GO:0051142	GO:0051135	biological_function	biological_function	positive regulation of NK T cell proliferation	positive regulation of NK T cell activation
GO:0051142	GO:0051140	biological_function	biological_function	positive regulation of NK T cell proliferation	regulation of NK T cell proliferation
GO:0051142	GO:0046641	biological_function	biological_function	positive regulation of NK T cell proliferation	positive regulation of alpha-beta T cell proliferation
GO:0051147	GO:0042692	biological_function	biological_function	regulation of muscle cell differentiation	muscle cell differentiation
GO:0051147	GO:0045595	biological_function	biological_function	regulation of muscle cell differentiation	regulation of cell differentiation
GO:0051148	GO:0042692	biological_function	biological_function	negative regulation of muscle cell differentiation	muscle cell differentiation
GO:0051148	GO:0051147	biological_function	biological_function	negative regulation of muscle cell differentiation	regulation of muscle cell differentiation
GO:0051148	GO:0045596	biological_function	biological_function	negative regulation of muscle cell differentiation	negative regulation of cell differentiation
GO:0051149	GO:0042692	biological_function	biological_function	positive regulation of muscle cell differentiation	muscle cell differentiation
GO:0051149	GO:0051147	biological_function	biological_function	positive regulation of muscle cell differentiation	regulation of muscle cell differentiation
GO:0051149	GO:0045597	biological_function	biological_function	positive regulation of muscle cell differentiation	positive regulation of cell differentiation
GO:0051150	GO:0051145	biological_function	biological_function	regulation of smooth muscle cell differentiation	smooth muscle cell differentiation
GO:0051150	GO:0051147	biological_function	biological_function	regulation of smooth muscle cell differentiation	regulation of muscle cell differentiation
GO:0051151	GO:0051145	biological_function	biological_function	negative regulation of smooth muscle cell differentiation	smooth muscle cell differentiation
GO:0051151	GO:0051150	biological_function	biological_function	negative regulation of smooth muscle cell differentiation	regulation of smooth muscle cell differentiation
GO:0051151	GO:0051148	biological_function	biological_function	negative regulation of smooth muscle cell differentiation	negative regulation of muscle cell differentiation
GO:0051152	GO:0051145	biological_function	biological_function	positive regulation of smooth muscle cell differentiation	smooth muscle cell differentiation
GO:0051152	GO:0051149	biological_function	biological_function	positive regulation of smooth muscle cell differentiation	positive regulation of muscle cell differentiation
GO:0051152	GO:0051150	biological_function	biological_function	positive regulation of smooth muscle cell differentiation	regulation of smooth muscle cell differentiation
