DC_ID	DCU_ID
DC005294	DCU07662
DC005314	DCU07687
DC005319	DCU07694
DC005322	DCU07697
DC005323	DCU07698
DC005333	DCU07711
DC005336	DCU09566
DC005339	DCU07718
DC005350	DCU07729
DC005353	DCU07732
DC005362	DCU01887
DC005362	DCU07750
DC005385	DCU07783
DC005389	DCU07788
DC005396	DCU07800
DC005400	DCU07805
DC005404	DCU07809
DC005412	DCU07819
DC005421	DCU07844
DC005449	DCU07875
DC005450	DCU07876
DC005463	DCU07890
DC005467	DCU07898
DC005472	DCU07903
DC005472	DCU10290
DC005488	DCU07923
DC005501	DCU07939
DC005521	DCU07963
DC005523	DCU07965
DC005540	DCU07998
DC005542	DCU08004
DC005557	DCU08026
DC005559	DCU08028
DC005570	DCU08041
DC005582	DCU08059
DC005603	DCU08089
DC005610	DCU08096
DC005613	DCU08100
DC005627	DCU08117
DC005636	DCU08128
DC005651	DCU08162
DC005658	DCU08175
DC005665	DCU08185
DC005665	DCU08187
DC005665	DCU08189
DC005702	DCU08244
DC005712	DCU06351
DC005712	DCU08261
DC005715	DCU08265
DC005732	DCU08286
DC005733	DCU08287
DC005743	DCU08302
DC005750	DCU08319
DC005752	DCU08323
DC005757	DCU08335
DC005773	DCU08355
DC005774	DCU08356
DC005783	DCU08368
DC005783	DCU08369
DC005784	DCU08370
DC005791	DCU08379
DC005791	DCU08381
DC005802	DCU08393
DC005804	DCU08395
DC005818	DCU08413
DC005839	DCU08439
DC005839	DCU08440
DC005840	DCU08441
DC005843	DCU08444
DC005861	DCU08470
DC005861	DCU08471
DC005864	DCU08482
DC005871	DCU08491
DC005878	DCU08506
DC005894	DCU08529
DC005921	DCU08563
DC005921	DCU09100
DC005938	DCU08583
DC005946	DCU08593
DC005954	DCU08603
DC005981	DCU08644
DC005998	DCU08667
DC006001	DCU08671
DC006002	DCU08672
DC006019	DCU08706
DC006019	DCU08953
DC006066	DCU08789
DC006074	DCU08801
DC006079	DCU08807
DC006083	DCU08812
DC006098	DCU08828
DC006104	DCU08838
DC007176	DCU10367
DC007177	DCU10368
DC007178	DCU10369
DC007178	DCU10370
DC007179	DCU10371
DC007179	DCU10372
DC007180	DCU10373
DC007181	DCU10374
DC007182	DCU10375
DC007183	DCU10376
DC007185	DCU10377
DC007186	DCU10378
DC007187	DCU10379
DC007188	DCU10380
DC007189	DCU10381
DC007191	DCU10383
DC007193	DCU10386
DC007195	DCU10388
DC007196	DCU10389
DC007196	DCU10390
DC007197	DCU10391
DC007197	DCU10392
DC007198	DCU10393
DC007199	DCU10394
DC007200	DCU10395
DC007201	DCU10396
DC007201	DCU10397
DC007202	DCU10398
DC007203	DCU10399
DC007203	DCU10400
DC007203	DCU10401
DC007204	DCU10402
DC007205	DCU10403
DC007206	DCU10404
DC007208	DCU10407
DC007212	DCU10413
DC007212	DCU10414
DC007213	DCU10415
DC007214	DCU10416
DC007215	DCU10417
DC007216	DCU10418
DC007217	DCU10419
DC007218	DCU10420
DC007219	DCU10421
DC007219	DCU10422
DC007220	DCU10423
DC007221	DCU10424
DC007222	DCU10425
DC007223	DCU10426
DC007224	DCU10427
DC007225	DCU10428
DC007225	DCU10429
DC007226	DCU10430
DC007227	DCU10431
DC007227	DCU10432
DC007228	DCU10433
DC007229	DCU10434
DC007230	DCU10435
DC007230	DCU10436
DC007231	DCU10437
DC007231	DCU10438
DC007232	DCU10439
DC007232	DCU10440
DC007232	DCU10441
DC007233	DCU10442
DC007233	DCU10443
DC007234	DCU10444
DC007235	DCU10445
DC007236	DCU10446
DC007237	DCU10447
DC007237	DCU10448
DC007237	DCU10449
DC007238	DCU10450
DC007238	DCU10451
DC007239	DCU10452
DC007239	DCU10453
DC007240	DCU10454
DC007242	DCU10455
DC007242	DCU10456
DC007243	DCU10457
DC007245	DCU10458
DC007246	DCU10459
DC007247	DCU10460
DC007248	DCU10461
DC007249	DCU10462
DC007249	DCU10463
DC007250	DCU10464
DC007250	DCU10465
DC007251	DCU10466
DC007252	DCU10467
DC007253	DCU10468
DC007253	DCU10469
DC007254	DCU10470
DC007254	DCU10471
DC007255	DCU10472
DC007255	DCU10473
DC007256	DCU10474
DC007258	DCU10477
DC007259	DCU10478
DC007260	DCU10479
DC007261	DCU10480
DC007262	DCU10481
DC007263	DCU10482
DC007265	DCU10486
DC007266	DCU10487
DC007267	DCU10488
DC007267	DCU10489
DC007267	DCU10490
DC007268	DCU10491
DC007270	DCU10493
DC007271	DCU10494
DC007271	DCU10495
DC007272	DCU10496
DC007272	DCU10497
DC007273	DCU10498
DC007273	DCU10499
DC007274	DCU10500
DC007275	DCU10501
DC007276	DCU10502
DC007277	DCU10503
DC007277	DCU10504
DC007277	DCU10505
DC007281	DCU10511
DC007283	DCU10514
DC007284	DCU10515
DC007285	DCU10516
DC007285	DCU10517
DC007286	DCU10518
DC007287	DCU10519
DC007288	DCU10520
DC007290	DCU10522
DC007290	DCU10523
DC007291	DCU10524
DC007292	DCU10525
DC007292	DCU10526
DC007293	DCU10527
DC007294	DCU10528
DC007296	DCU10529
DC007297	DCU10530
DC007298	DCU10531
DC007298	DCU10532
DC007298	DCU10533
DC007299	DCU10534
DC007300	DCU10535
DC007301	DCU10536
DC007302	DCU10537
DC007302	DCU10538
DC007303	DCU10539
DC007304	DCU10540
DC007307	DCU10542
DC007308	DCU10543
DC007309	DCU10544
DC007310	DCU10545
DC007311	DCU10546
DC007312	DCU10547
DC007312	DCU10548
DC007312	DCU10549
DC007313	DCU10550
DC007314	DCU10551
DC007314	DCU10552
DC007315	DCU10553
DC007316	DCU10554
DC007317	DCU10555
DC007317	DCU10556
DC007318	DCU10557
DC007318	DCU10558
DC007318	DCU10559
DC007318	DCU10560
DC007319	DCU10561
DC007320	DCU10562
DC007321	DCU10563
DC007322	DCU10564
DC000380	DCU00075
DC000381	DCU00472
DC000382	DCU00082
DC000383	DCU00050
DC000384	DCU00051
DC000384	DCU00859
DC000384	DCU00865
DC000384	DCU00873
DC000385	DCU00467
DC000386	DCU00052
DC000387	DCU00468
DC000388	DCU00053
DC000389	DCU00469
DC000389	DCU02880
DC000390	DCU00054
DC000391	DCU00470
DC000392	DCU00463
DC000393	DCU00464
DC000394	DCU00465
DC000395	DCU00466
DC000396	DCU00107
DC000397	DCU00106
DC000398	DCU00105
DC000398	DCU02431
DC000398	DCU02432
DC000398	DCU02436
DC000398	DCU02437
DC000398	DCU02444
DC000398	DCU02449
DC000399	DCU00104
DC000399	DCU00890
DC000399	DCU00892
DC000399	DCU02653
DC000399	DCU02654
DC000399	DCU02657
DC000399	DCU02658
DC000399	DCU02663
DC000399	DCU02664
DC000399	DCU02665
DC000399	DCU02667
DC000399	DCU02668
DC000399	DCU02673
DC000399	DCU02675
DC000399	DCU02686
DC000399	DCU02687
DC000400	DCU00110
DC000401	DCU00440
DC000402	DCU00061
DC000403	DCU00111
DC000404	DCU00441
DC000405	DCU00062
DC000406	DCU00108
DC000406	DCU02361
DC000406	DCU08216
DC000406	DCU08218
DC000407	DCU00438
DC000408	DCU00059
DC000409	DCU00109
DC000410	DCU00439
DC000411	DCU00060
DC000412	DCU00057
DC000413	DCU00058
DC000414	DCU00112
DC000415	DCU00442
DC000416	DCU00055
DC000417	DCU00113
DC000418	DCU00056
DC000419	DCU00433
DC000420	DCU00436
DC000421	DCU00437
DC000422	DCU00434
DC000423	DCU00063
DC000424	DCU00435
DC000425	DCU00064
DC000426	DCU00065
DC000427	DCU00210
DC000428	DCU00212
DC000429	DCU00211
DC000430	DCU00213
DC000430	DCU01946
DC000431	DCU00449
DC000432	DCU00076
DC000433	DCU00214
DC000434	DCU00450
DC000435	DCU00077
DC000436	DCU00215
DC000437	DCU00451
DC000438	DCU00078
DC000439	DCU00216
DC000440	DCU00452
DC000441	DCU00079
DC000442	DCU00217
DC000443	DCU00066
DC000444	DCU00218
DC000445	DCU00067
DC000446	DCU00103
DC000447	DCU00068
DC000448	DCU00069
DC000449	DCU00443
DC000450	DCU00444
DC000451	DCU00234
DC000451	DCU00445
DC000452	DCU00080
DC000452	DCU00903
DC000453	DCU00446
DC000454	DCU00447
DC000455	DCU00448
DC000456	DCU00223
DC000456	DCU00336
DC000456	DCU00904
DC000457	DCU00376
DC000458	DCU00334
DC000458	DCU02848
DC000459	DCU00335
DC000460	DCU00332
DC000461	DCU00333
DC000462	DCU00339
DC000462	DCU02210
DC000463	DCU00340
DC000463	DCU00908
DC000464	DCU00377
DC000465	DCU00378
DC000466	DCU00031
DC000466	DCU00226
